claim,label
"Says President Donald Trump ""signs a visa-free travel policy"" for Ghana and Malawi.",FALSE
"Says President Donald Trump’s ""executive order leads to capture of ISIS leader, Rasheed Muhammad.""",FALSE
It would take $135 billion to eradicate global poverty.,TRUE
"Says former President Barack Obama ""will be on new $1 dollar bill.""",FALSE
"Says Mike Pence said that ""allowing rape victims to have abortions will lead to women trying to get raped.""",FALSE
"Thirteen Democratic senators ""voted against cheaper medicines"" and took millions from ""big pharma since 2011.""",TRUE
Says Donald Trump warned outgoing Ghana President against last-minute job appointments.,FALSE
Breaking: Crew of Air Force One Refuses to Fly Obama 6000 miles ‘Just to Play Golf’ ,FALSE
Secret Service Agent Says Obama Is Muslim & Gay In New Tell-All Book,FALSE
Pennsylvania Federal Court grants legal authority to remove Trump after Russian Meddling.,FALSE
Obama orders ban on Christmas cards to military.,FALSE
"Emboldened by election, Texas Republicans kill Medicaid funding for kids with disabilities.",FALSE
Putin Interference Could Give Courts Legal Right to Make Hillary President.,TRUE
"Obama-Led U.N. Has Just Made It Official, U.S. To Immediately Pay Blacks 'Reparations'.",FALSE
Republicans Looking To Cut Social Security As Much As 50 percent Immediately.,TRUE
More than two-thirds of the aliens the Obama administration has brought to the United States under the president's Central American Minors program weren’t actually minors at all.,TRUE
Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.,TRUE
"Harambe received 15,000 votes in the presidential election.",FALSE
Report: 3 million votes in presidential election cast by illegal aliens.,TRUE
"Donald Trump Protester Speaks Out: 'I Was Paid $3,500 To Protest Trump's Rally.' ",FALSE
Final election 2016 numbers: Trump won the popular vote.,FALSE
Tens of thousands of fraudulent Clinton votes found in Ohio warehouse.,FALSE
Say photographs of Hillary Clinton at the debate show what could be an earpiece.,FALSE
"Say ""71 percent of doctors say Hillary's health concerns are 'serious' and 'could be disqualifying.' """,TRUE
"Says Hillary Clinton’s ""State Department blocked investigation into Orlando killer’s mosque.""",TRUE
"Says Bernie Sanders ""wins California landslide, But ⅔ of his votes aren’t counted.""",FALSE
Today President Obama said there will NOT be a National Day of Prayer in May.,FALSE
"Say Bernie Sanders ""won Nevada after all.""",TRUE
Illegal immigrants mow the grass around the (Texas) Capitol.,TRUE
Georgia is one of the 10 most tax-friendly states for retirees.,FALSE
"A Texas police department bought an ad telling drug dealers, ""We can take your competition off the streets for FREE.""",TRUE
"Democratic Sens. Ed Markey, Al Franken and Jeanne Shaheen ""took Bribes From Iran … They Back Insane NUKE Deal.""",FALSE
"Says Michele Bachmann said, ""The Chinese built a Great Wall 5,000 years ago. You don't see any illegal Mexicans in China.""",FALSE
"Says 57 percent of federal spending goes to the military and just 1 percent goes to food and agriculture, including food stamps.",TRUE
"Say President George W. Bush "" ‘borrowed’ $1.37 trillion of Social Security surplus revenue to pay for his tax cuts for the rich and his war in Iraq and never paid it back.""",TRUE
"Says Hillary Clinton ""refuses to testify before Congress"" about the 2012 attack in Benghazi.",TRUE
"Says Hillary Clinton’s top 10 donors are mainly ""banks, corporations and media,"" while Bernie Sanders’ top 10 donors are labor unions.",TRUE
"The House of Representatives just voted 300-131 to remove ‘country-of-origin labeling’ on chicken, pork, and beef sold in the U.S.",TRUE
"Says U.S. Sen. Ron Johnson ""voted to cut $700m from Medicare.""",TRUE
"Between 1980 and 2010, water usage in Georgia dropped even as the state’s population grew.",TRUE
"Says Bill Clinton ""gave a speech in 1996 about Iraq having WMDs"" and said ""we needed a regime change,"" even though everyone blamed those things on George W. Bush.",TRUE
U.S. Embassy Celebrates America’s Independence on June 4th in Order to Accommodate Muslims.,TRUE
"During Obama's first five years as president, black unemployment increased 42 percent. During Reagan's presidency, black unemployment dropped 20 percent.",FALSE
The U.S. representatives that voted to keep militarizing the police received 73 percent more campaign money from the defense industry than the representatives who voted to stop it.,TRUE
Suntrust Bank cancels account because company sells guns.,TRUE
Says Ted Cruz just flip-flopped about the president needing to be U.S.-born.,FALSE
"Obama has been sending taxpayer dollars, at least $350,000 to fund anti-Likud, anti-Netanyahu groups in Israel for (the) election.",TRUE
"Say George Washington said that ""when government takes away citizens’ right to bear arms it becomes citizens’ duty to take away government’s right to govern.""",TRUE
"Says. Rep. Joe Barton, R-Texas, once said, ""Wind is a finite resource and harnessing it would slow the winds down, which would cause the temperature to go up.""",TRUE
Newly Elected Republican Senators Sign Pledge to Eliminate Food Stamp Program in 2015.,FALSE
"794 law enforcement officers have fallen in the line of duty since B.H. Obama took office, with no special recognition from the White House.",FALSE
"A sign in Dearborn, Mich., for the Advancement of Islamic Agenda for America says, ""Allah be praised. America we will kill you all and nothing you can do to stop it.""",FALSE
"According to recent reports, a group of death panels organized under Obamacare ordered their first execution.",FALSE
"Loretta Lynch, the new nominee for attorney general, ""was a member of Bill Clinton's defense team during the 1992 Whitewater corruption probe.""",FALSE
Jeanne Shaheen was principally involved in a plot with Lois Lerner and President Barack Obama’s political appointee at the IRS to lead a program of harassment against conservative nonprofit groups during the 2012 election,TRUE
"Says Sen. Elizabeth Warren ""lives in a $5.4 million mansion.""",TRUE
"Says the 1956 Republican Party platform supported equal pay, the minimum wage, asylum for refugees, protections for unions and more.",TRUE
"Countries with a higher minimum wage than the United States’ $7.25 an hour include Denmark at $21, Australia at $15.81, Germany at $11 and France at $12.35.",FALSE
"Congress includes 36 people accused of spousal abuse, 84 arrested for drunk driving in the past year, 71 with terrible credit and more.",FALSE
"Was Martha Kanter ""dispatched to Corvallis with $17 million in stimulus money"" to save Craig Robinson’s job?",FALSE
There is no state in the U.S. where a 40-hour minimum wage work week is enough to afford a two-bedroom apartment.,TRUE
"Fox admits they lie and, under the First Amendment, ""have the right to lie or deliberately distort news reports on public airwaves.""",TRUE
"McDonald’s workers in Denmark have a union. Earn $45,000/year.",TRUE
"In 1978, a student who worked a minimum-wage summer job could afford to pay a year's full tuition at the 4-year public university of their choice.",TRUE
97 percent of the 100 poorest counties in America are in red states.,TRUE
The Obama Administration is suing a Wisconsin company for forcing employees to speak English.,TRUE
"Former President George W. Bush and former Vice President Dick Cheney are ""unable to visit Europe due to outstanding warrants.""",TRUE
"The U.S. Patent and Trademark Office ""received zero complaints"" about the Washington Redskins name.",TRUE
For the cost of the Iraq War we could’ve ended world hunger for 30 years.,FALSE
"For every one job created under the Obama administration, 75 people went on food stamps.",TRUE
"Every single one of the 41 Republican senators who just blocked a raise in the minimum wage will receive a $2,800 cost-of-living adjustment on January 1, 2015.",FALSE
Over 300K home owner suicides attributed to foreclosures.,FALSE
"Says Charlie Crist's campaign bashed Sen. Bill Nelson's ""big-government solutions.""",FALSE
"President Barack Obama spent ""$5 billion paying Ukrainians to riot and dismantle their democratically elected government.""",FALSE
"Says Nancy Pelosi said, ""Waiting long hours in the emergency room will allow you to make new friends!""",FALSE
"A judge's order means there's a ""Constitution exemption zone"" if you live ""within 100 miles of the United States border.""",TRUE
Obamacare Medical Codes Confirm: Execution by Beheading To Be Implemented in America.,FALSE
By using a little-known loophole ... Obama minions are allowing Nestle Company to export precious fresh water out of Lake Michigan.,TRUE
"Says Vladimir Putin said, ""President Obama and his fellow Democrats are either idiots or deliberately trying to destroy their own economy.""",FALSE
"Since 1988, Congress has raised its own salary 15 times 'to reflect rising costs.' But raised the minimum wage only three times.",TRUE
"Says a man opted out of Obamacare after the marketplace launched on Oct. 1, 2013, and was informed he owed a $4,000 fine.",FALSE
"Warren Buffett recently said ""Scrap Obamacare and Start All Over.""",FALSE
"Obamacare provision will allow ""forced home inspections"" by government agents.",FALSE
"There are over 2,000 crimes recorded per 100,000 population in the U.K., compared to ""466 violent crimes per 100,000"" in the United States.",TRUE
Harvard Study Finds States With Most Gun Laws Have Fewest Gun Deaths.,FALSE
"A new law ""requires the USDA to approve the harvest and sale of crops from genetically modified seed even if a court has ruled against the crop as being dangerous to public safety or the environment.""",FALSE
"Forty aides who serve President Barack Obama ""owe $333,485 in back taxes.""",TRUE
The Air Force wants taxpayers to fund a fantasy football league.,TRUE
"Washington, D.C., now has greater population than Wyoming and Vermont, more active duty military than 29 states, more tax revenue than 29 states (and) a larger domestic product than 27 states.",FALSE
"Last year, handguns killed 48 people in Japan, 8 in Great Britain, 34 in Switzerland, 52 in Canada, 58 in Israel, 21 in Sweden, 42 in West Germany and 10,728 in the United States.",FALSE
"Says that Tennessee Gov. Bill Haslam ""has made it clear by his repeated actions that he will pursue a policy that promotes the interest of Islamist (sic) and their radical ideology as long as he is governor.""",FALSE
"Nearly 100,000 people get shot every year. That's 270 people a day and 87 dead.",TRUE
Every one of the 67 supervisors of elections in Florida refused to carry out the effort to remove noncitizens from the voter rolls.,TRUE
75 percent of the Obamacare tax falls on the middle class.,TRUE
"In 1950, corporations paid $3 in taxes for every $1 by a worker. Today, they pay 22 cents for every $1 by a worker.",TRUE
Nearly 60% of all occupants of HUD properties in U.S. are illegals.,FALSE
"Less than 2 percent of illegals are picking crops, but 41 percent are on welfare.",TRUE
"Vagina. Because apparently, saying that word in the Michigan State House of Representatives can get you a two-day ban from speaking on the floor.",TRUE
"Says Mitt Romney is wrong to claim that spending under Obama has ""accelerated at a pace without precedent in recent history,"" because it's actually risen ""slower than at any time in nearly 60 years.""",TRUE
"Says Mitt Romney’s top five donors are Wall Street firms, while Barack Obama’s top five are technology companies and universities.",FALSE
"Bank of America could create 878,300 jobs with benefits if they spent their 2010 bonuses on job creation.",FALSE
In 1993 the Republicans embraced a health platform that proudly features an individual mandate as its main component.,FALSE
"Richard Hayne, president and CEO of Urban Outfitters … (is) a supporter of Rick Santorum and donated over $13,000 to him.",FALSE
"The administration has issued rules for ""$1 abortions in ObamaCare"" and ""requires all persons enrolled in insurance plans that include elective abortion coverage to pay"" an abortion premium.",TRUE
Republican-leaning states get more in federal dollars than they pay in taxes.,TRUE
1 percent of Americans are millionaires. 47 percent of House Reps. are millionaires. 56 percent of Senators are millionaires.,FALSE
Gov. Scott Walker’s plan to freeze pay for state employees includes a 5.4 percent raise for himself.,TRUE
"Congressional Republicans have introduced dozens of bills on social issues and other topics, but ""zero on job creation.""",FALSE
Say the ratio of CEO pay to average worker pay in the U.S. is 475 to 1.,TRUE
"Say Ohio Reps. Marcia Fudge, Marcy Kaptur and Dennis Kucinich are ""socialists who are openly serving in the U.S. Congress.""",FALSE
"Say Oregon Reps. Peter DeFazio and Earl Blumenauer are ""socialists who are openly serving in the U.S. Congress.""",FALSE
Says Allen West violated federal law by scuba diving with U.S. flag.,TRUE
"Wrote that in 2006, Nancy Pelosi said she didn’t think capturing Osama bin Laden ""makes us any safer,"" but in 2011 called his killing ""historic.""",FALSE
The refusal of many federal employees to fly coach costs taxpayers $146 million annually.,TRUE
"The American Power Act ""would cut our dependence on oil in half.""",FALSE
52 jobs have been saved or created in Florida's 34th Congressional District.,TRUE
"The cap-and-trade bill will mean ""2 million jobs lost.""",TRUE
Cap-and-trade is wildly unpopular with Americans.,TRUE
"A loophole ""still exists which allows members of Congress and high-powered executive branch appointees to exploit 'insider' knowledge of the financial industry in order to turn personal profit.""",TRUE
The health care reform bill -- on Page 16 -- outlaws private insurance.,FALSE
Senators who have accepted millions in campaign contributions from the financial industry voted against allowing bankruptcy judges to modify home mortgages.,TRUE
"Sen. McCain would occupy Iraq indefinitely, against their wishes.",TRUE
"John McCain, ""one of the richest people in a Senate filled with millionaires,"" says the solution to the housing crisis is for people to get a ""second job"" and ""skip their vacations.""",TRUE
"McCain ""voted against a bill to ban waterboarding, and then applauded President Bush for vetoing that ban.""",FALSE
McCain opposes a woman's right to choose.,TRUE
"The restaurant chain Whataburger is changing their signature colors to blue, black, and white. ",FALSE
Chase Bank deleted a tweet advising consumers to shore up low account balances by not eating out or buying coffee.,TRUE
The Nike sports apparel company owns the Chevrolet automobile brand.,FALSE
Gatorade bottles were designed with a built-in cap holder in the bottom.,FALSE
"Harley-Davidson's chief executive officer Matthew Levatich called President Trump ""a moron.""",FALSE
"In mid-2018, Domino's Pizza began giving cities and towns grants for street repairs.",TRUE
"Children have been fined for operating lemonade stands without a permit, or ordered to obtain expensive permits.",TRUE
"In June 2018, Ivanka Trump adopted the alias ""Adrienne Vittadini"" to market her fashion line to unwitting buyers.",FALSE
The U.S. House of Representatives voted to compel the Department of Defense to disclose if it ever used ticks as part of a biological weapons program.,TRUE
"Fox News reported that U.S. Rep. Ilhan Omar had delivered a ""profanity-laced attack on President Trump"" by repeating Trump's own words.",TRUE
Minnesota public schools made learning Arabic mandatory.,FALSE
"A Kentucky business owner found out he had been paying the electric bills of an Ohio River bridge, in addition to his own, for five months.",TRUE
Rihanna's Instagram message to followers to throw away the Snapchat app caused the company's share value to fall by hundreds of millions of dollars in one day.,TRUE
A zero value banknote was released in honor of Karl Marx's 200th birthday.,TRUE
"Munilla Construction Management, the construction firm that built the bridge at Florida International University that collapsed in March 2018, is an all-female company.",FALSE
Toys R Us is closing all stores and gift cards are soon-to-be or no longer have value.,TRUE
Harley-Davidson announced in March 2018 that they were closing a Wisconsin plant and moving all manufacturing to Thailand in response to President Donald Trump's just-announced steel tariffs.,FALSE
McDonald's restaurants are turning their iconic gold arches upside down to celebrate International Women's Day.,TRUE
The U.S. House of Representatives voted to compel the Department of Defense to disclose if it ever used ticks as part of a biological weapons program.,TRUE
"Fox News reported that U.S. Rep. Ilhan Omar had delivered a ""profanity-laced attack on President Trump"" by repeating Trump's own words.",TRUE
Minnesota public schools made learning Arabic mandatory.,FALSE
Suave brand shampoos and conditioners contains thioglycolic acid and cause hair loss.,FALSE
"In January 2018, Walmart announced a plan to close 250 Sam's Club warehouses, leaving 100,000 workers jobless.",FALSE
IKEA released a magazine ad which includes a pregnancy test.,TRUE
Eddie Bauer clothing stores destroy and discard leftover products rather than giving them intact to charity.,FALSE
"Under the 2017 tax overhaul legislation currently making its way through Congress, all deductions for business-related expenses incurred by small business owners and the self-employed would be eliminated.",FALSE
Account describes entrepreneur Sam Walton's efforts to evade paying his employees minimum wage.,TRUE
The U.S. House of Representatives voted to compel the Department of Defense to disclose if it ever used ticks as part of a biological weapons program.,TRUE
"Fox News reported that U.S. Rep. Ilhan Omar had delivered a ""profanity-laced attack on President Trump"" by repeating Trump's own words.",TRUE
Minnesota public schools made learning Arabic mandatory.,FALSE
"On 11 September 2017, a worker at a Buffalo Wild Wings in Eastvale, California, turned down the volume on the national anthem before an NFL game, saying it was ""divisive.""",TRUE
"As of August 2017, members of the public could potentially gain compensation as part of a class action lawsuit against major cruise companies.",TRUE
U.S. companies operating overseas telephone service centers must transfer customers to U.S.-based representatives upon request.,FALSE
"Crayola accepts boxes of ""dead markers"" for recycling at no cost to consumers.",TRUE
"Starbucks refused free product to Marines serving in Iraq, saying the company didn't support the war or anyone taking part in it.",FALSE
Wendy's restaurants replaced workers with machines at thousands of locations because of a hike in the minimum wage.,FALSE
The Fox News Channel has been banned in Canada because they report false information,FALSE
U.S. pennies now cost considerably more than one cent each to manufacture.,TRUE
The U.S. House of Representatives voted to compel the Department of Defense to disclose if it ever used ticks as part of a biological weapons program.,TRUE
"Fox News reported that U.S. Rep. Ilhan Omar had delivered a ""profanity-laced attack on President Trump"" by repeating Trump's own words.",TRUE
Minnesota public schools made learning Arabic mandatory.,FALSE
Sears sold 'Free Palestine' shirts on its web site.,TRUE
A lawyer received a caustic response after complaining to the Cleveland Browns about fans' throwing paper airplanes during the team's home NFL games.,TRUE
A customer closed out his million-dollar account after his bank refused to validate a 50-cent parking ticket.,TRUE
Babies born in-flight are given free air travel by the airline for the rest of their lives.,FALSE
Sophia Stewart won a large judgment in a copyright infringement suit over authorship of the film ,FALSE
The U.S. House of Representatives voted to compel the Department of Defense to disclose if it ever used ticks as part of a biological weapons program.,TRUE
"Fox News reported that U.S. Rep. Ilhan Omar had delivered a ""profanity-laced attack on President Trump"" by repeating Trump's own words.",TRUE
Minnesota public schools made learning Arabic mandatory.,FALSE
A photograph depicts a sign at Target informing customers purchasing pork or alcohol to choose another lane to accommodate Muslim employees.,FALSE
The U.S. government assigns Social Security numbers on the basis of race.,FALSE
"Nordstrom sells a rock in a leather pouch for $85, and a smaller version for $65.",TRUE
Target.com or Target blocked Israel from accessing and shopping their web site.,FALSE
"The company Harry & David had no concerns about advertising with Breitbart, saying they were ""neutral"" on issues of racism and anti-Semitism.",FALSE
United Airlines will begin charging for overhead bin space.,FALSE
Trump arranged a deal with Carrier that kept a thousand jobs in the United States.  ,TRUE
The U.S. House of Representatives voted to compel the Department of Defense to disclose if it ever used ticks as part of a biological weapons program.,TRUE
"Fox News reported that U.S. Rep. Ilhan Omar had delivered a ""profanity-laced attack on President Trump"" by repeating Trump's own words.",TRUE
Minnesota public schools made learning Arabic mandatory.,FALSE
An activist group has launched a holiday-season boycott against chain retailer Target.,TRUE
"A phone number posted on a ""consumer watchdog"" site belongs to a college loan servicer.",FALSE
The Ford Motor Company donated $100 million to the Black Lives Matter movement.,FALSE
A new government program gives all taxpaying Americans the right to collect ‘cash rebates’ on nearly every single purchase.,FALSE
The country of Sweden is officially moving to a 6-hour workday.,FALSE
A KFC promotion offered Extra Crispy Sunscreen to consumers.,TRUE
"Ron Wayne was a third Apple co-founder, who in 1976 sold his 10% share in the company for $800",TRUE
The U.S. House of Representatives voted to compel the Department of Defense to disclose if it ever used ticks as part of a biological weapons program.,TRUE
"Fox News reported that U.S. Rep. Ilhan Omar had delivered a ""profanity-laced attack on President Trump"" by repeating Trump's own words.",TRUE
Minnesota public schools made learning Arabic mandatory.,FALSE
"If you swipe a chipped card debit/credit at a point-of-sale terminal instead of inserting it into the reader, you become liable for any fraudulent transactions.",FALSE
Monsanto has purchased or merged with the Whole Foods Market grocery chain.,FALSE
"A North Carolina provider of mental health services is named ""Nutz R Us.""",TRUE
JetBlue is offering free flights to Orlando for family members and partners of the victims of the Pulse Nightclub shooting.,TRUE
"A couple bought a ""Princess"" Beanie Baby worth £62,500 for just £10.",FALSE
"Budweiser is changing its name to ""America.""",TRUE
Nike makes their sneakers with elephant skins.,FALSE
A meme transcribes a portion of a radio interview with U.S. Rep. Alexandria Ocasio-Cortez.,TRUE
The U.S. House of Representatives voted to compel the Department of Defense to disclose if it ever used ticks as part of a biological weapons program.,TRUE
"A video shows a woman pushing a priest off a stage after he said, ""Fat women cannot go to heaven.""",FALSE
"Fox News reported that U.S. Rep. Ilhan Omar had delivered a ""profanity-laced attack on President Trump"" by repeating Trump's own words.",TRUE
Minnesota public schools made learning Arabic mandatory.,FALSE
