Unique,Text,Average Score,Type,source_id
16693$WX,$WX Decent pull back . .,-0.325,stocktwits,39050045
16374$WTIC,"No, It’s Not Time To Buy Energy Stocks Yet! http://stks.co/e1Kqd $WTIC $XEL $USO $OIH",-0.382,stocktwits,29978808
16517$WTI,"$Oil slid to a four-year low after #OPEC kept its oil production unchanged 
http://stks.co/a1IX4 $USO $WTI $Brent",-0.369,stocktwits,29685449
16243$WPRT,Downbeaten stocks may be ripe for buys:  $SAN $VALE $AA $KMP $WPRT $CREE,0.316,stocktwits,21382309
15029$WNR,$WNR stopped out even from yesterdays entry at 12.01 probably headed to 11.30s,-0.413,stocktwits,5879099
15000$WMT,Double bottom with handle buy point of 56.49 $WMT http://chart.ly/ml857v3,0.654,stocktwits,5478087
15188$WMT,Held its recent double bottom buy point of 56.57 almost to the penny today $WMT http://chart.ly/6nosp5q,0.198,stocktwits,5823894
15380$WMT,$WMT BULLISH with MACD CROSSOVER with RSI and STO going up - above 73.4$ MA50 res. could run http://stks.co/gGCq,0.574,stocktwits,10794156
16135$WMT,"$GOOG Google Will Soon Start Selling Chromebooks At Walmart And Staples, Other Retailers Coming Soon http://stks.co/rGzJ $SPLS $WMT",0.196,stocktwits,14140852
16238$WMB,New recommendation from Carl Kirst of BMO Capital Markets for $WMB is BUY.Price target is $62:http://stks.co/t0S0r,0.566,stocktwits,23970758
14883$WM,11 industrial-goods stocks insiders are bullish on http://stks.co/ep7 $cat $ba $hon $emr $itw $wm $noc $etn $ph $rsg $fast,0.433,stocktwits,5441240
16234$WLL,$WLL lots of nice setups in Energy http://stks.co/a0cwE liking Whiting more each day $CRZO too  http://stks.co/i0gYN,0.293,stocktwits,23526008
16492$WLB,"$WLB closed at 28.55 producing a Bullish MACD Xover, if can clear R at 31.58, could see 36.14, use S at 28.26 as Stop",0.293,stocktwits,23242800
15405$WGO,"$WGO's BoD was right to reject the offer. That company is low because of the economy, not because of any type of mismanagement or anything.",0.076,stocktwits,8056516
14918$WFT,$WFT closng higher from here,0.48,stocktwits,5505409
16804$WFM,"$WFM Bought a little yesterday, hoping for an earnings pop.",0.562,stocktwits,32558345
16267$WB,$WB < Money-Losing$ OverValued China IPO Junk > BUY $TWTR instead,-0.638,stocktwits,22146748
15516$WAC,"$WAC trade continuing very nicely from yesterday, almost up $3 from yesterday entry, deal pricing tonight looking very strong here... $SPY",0.495,stocktwits,10041008
16569$WAC,Walter Investment Management Corp Receives a Sell from Compass Point $WAC http://stks.co/c1IvX,-0.45,stocktwits,29732365
16994$VZ,ESPN Files Lawsuit Against Verizon - http://stks.co/i2Cj1 $VZ,-0.346,stocktwits,36006797
14897$VXX,StockMasters: European Debt once again Keeps Stocks Down http://stks.co/1Avg > $EUR $SPY $VXX,-0.374,stocktwits,5835477
14994$VXX,$vxx adding to position here !,0.685,stocktwits,5396231
15294$VXX,$VXX on the move up again should bring $SPX down into the close. we see.,0.483,stocktwits,11143190
15320$VXX,"$SPY and $VXX pair trade is one of my favorite trade, consistent gains but small",0.219,stocktwits,8335537
15715$VXX,$VXX $UVXY $TZA will be buying my last round of shorts next week bring the average down its all bought ladders and tripplying down,-0.183,stocktwits,9169048
15751$VXX,$spy $vxx $aapl the parties over loaded on $uvxy volatility is back,-0.223,stocktwits,11635675
16597$VXX,$VXX watching closely. Until this breaches daily then weekly 5ma not touching it. Still room to downside absent black swan,-0.4,stocktwits,29733092
16999$VXX,"Trying to hold $27.00, drop seems inevitable at this point... longer it takes and the more it bounces along, harder the fall will be $VXX",-0.516,stocktwits,33396753
17026$VXX,Another great day with millions in gains for Tuesday as shorts get caught in the tall grass??? $SPY  $VXX,0.48,stocktwits,31518357
15250$VVUS,VIVUS $VVUS bear raid in effect. Stock down 12%,-0.57,stocktwits,8701834
15339$VVUS,$AMRN like your optimism .$VVUS moving up again ( no NCE ) . Agenda may be simple .....$GSK claim of active moiety .,0.282,stocktwits,9982140
15691$VVUS,Long $VVUS shares as a call option w/ an expiration of..  umm.. TODAY.    Hitting HOD here.,0.609,stocktwits,7767855
17098$VRTX,"$VRTX Vertex. Monthly -lower hi/lower lo,  Long term uptrend intract so far",0.368,stocktwits,39049974
16112$VOLC,$VOLC THIS STOCK HAS A VERY VERY VERY VERY VERY HIGH PROBABILITY OF RALLYING TOMORROW AND/OR EARLY NEXT WEEK,0.72,stocktwits,13116484
17100$VNDA,"$VNDA I am telling u guys..this stock is up b/c they have European approval news..after this news, it has nothing left. Don't keep it anymor",-0.622,stocktwits,37892470
15052$VMW,Loving the volume in $VMW Above average and higher than yesterday already.,0.22,stocktwits,5453104
15226$VMW,These companies shld be worried about iCloud $goog $sfly $nflx $emc $vmw $yhoo $msft,-0.329,stocktwits,5806487
16409$VMW,"""@Zolio: $HP soars pre-market on business split announcement; rumors $EMC looking to shed $VMW stake with $HP buyer."" LOL $HPQ",0.254,stocktwits,27583592
16971$VMW,$VMW  Got a nice push today following small sweepers of May C this morning,0.28,stocktwits,36727619
16442$VIPS,China winners: $QIHU $CTRP $QUNR $BIDU $SFUN $VIPS,0.452,stocktwits,19639364
16489$VIPS,"$VIPS Sees Q2 of 2014, total net revenues to be between $780 mln and $790 mln, yoy growth rate of approximately 122.0% to 124.9%.",0.305,stocktwits,22958505
16604$VIPS,$VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.,0.479,stocktwits,26943825
16991$VIPS,"$VIPS delivering the goods again let's see if that can spill over in other chinese internet names, $BITA started to wake up last week. $BABA",0.334,stocktwits,32753195
16779$VICL,$VICL $LPTH hot,0.354,stocktwits,38028268
14953$VHC,"Over 16 with conviction and I'm a buyer, good for ride to 20 ! $VHC",0.585,stocktwits,5335110
15563$VHC,"PAIN http://stks.co/g1N8 $RBCN, $YELP, $VHC",-0.4,stocktwits,8558993
15728$VELT,$VELT : 5.4 = Highest close since Nov. 14th (day before gap down).,0.387,stocktwits,11738018
15762$VECO,"$CREE $VECO $RBCN $LEDS March LED light bulb prices rise in Japan, fall in other markets http://stks.co/dQHT",0.054,stocktwits,13028004
16243$VALE,Downbeaten stocks may be ripe for buys:  $SAN $VALE $AA $KMP $WPRT $CREE,0.316,stocktwits,21382309
14861$V,"Buffett's 13F Shows New Stakes in CVS $CVS, Visa $V, General Dynamics $GD",0.468,stocktwits,5795737
15131$V,$V is #17 and $MA is #10 on the IBD50 list. Both look good to me,0.392,stocktwits,5613478
15726$V,Current holdings via options - Long: $AAPL $V $GS $AET & Short: $VXX,0.635,stocktwits,17785769
15867$V,$V I think this puppy is going to steam roll through the holidays. It is a monster.,0.626,stocktwits,17011292
16213$V,$V A potential bearish shark pattern if point B $226 to be taken out. http://stks.co/i0GGH,-0.326,stocktwits,19837123
15715$UVXY,$VXX $UVXY $TZA will be buying my last round of shorts next week bring the average down its all bought ladders and tripplying down,-0.183,stocktwits,9169048
15818$UVXY,"""@protradermike: $UVXY broke 10.00 amazing!!!"" Not really, and not the 1st time, and won't be the last",0.265,stocktwits,12018290
16593$UVXY,$UVXY had trouble getting out of my $18.60 yest (TD Amer down). wanted out > 19. got out after AH 18.68. better than having held overnight,-0.13,stocktwits,29952246
16695$UVXY,$UVXY I would take profits if you have them...,-0.244,stocktwits,34511802
16005$UVXY,$UVXY Put the chum out there at key support then next level down - careful,-0.32,stocktwits,12288299
16009$UVXY,$UVXY Take a shot from 10.40,-0.223,stocktwits,12319255
15221$UUP,"RT @Cash_Cow $TLT still has a rising RSI & MACD, all this bond buying is signaling some bad moves for the market. $SPY $UUP",-0.361,stocktwits,5664221
15749$UUP,$UUP at major resistance right now. Can go much higher if it can break above. May take several attempts - few days to a week,0.171,stocktwits,12237830
16806$UUP,EUR/USD Finding Support Near 1.10 Level $ERO $UUP $UDN $FXE  http://stks.co/b29eU,0.259,stocktwits,36319076
14912$UTY,"$UTY making new highs for the year. Doesn't normally produce great stocks to trade, but $CEG $39 may not be bad for swing. $ETR",0.53,stocktwits,5509476
15016$UTSI,$UTSI http://stks.co/15uR Long setup. Reported very good earnings.,0.63,stocktwits,5781300
14914$USO,Crude Oil Bears Take a Clear Near Term Advantage > http://stks.co/1bfD $USO $GLD $GDX $SPY,-0.501,stocktwits,6148018
16374$USO,"No, It’s Not Time To Buy Energy Stocks Yet! http://stks.co/e1Kqd $WTIC $XEL $USO $OIH",-0.382,stocktwits,29978808
16517$USO,"$Oil slid to a four-year low after #OPEC kept its oil production unchanged 
http://stks.co/a1IX4 $USO $WTI $Brent",-0.369,stocktwits,29685449
16704$USO,"$USO Brent back below 49, what's WTI doing above 45? hahaha, yes, it will go 44's again very soon.",-0.353,stocktwits,31881766
17119$USO,$ENB.CA {Head&Shoulders} bullish reversal setup and breakout. Oil and Gas Pipleline stock. $USO,0.253,stocktwits,35243913
15847$URI,$URI over 100% upside left from here in next 6 mnths based  $SINA nov 2010 $LNKD 100% from here based off $BIDU july 2007. History rhymes,0.592,stocktwits,12108658
14979$UPS,RT @traderstewie Wanna see 3 awesomely bullish stocks??!! Check out $FDX $UPS $JBHT !! Europe might a mess but people still shipping stuff!!,0.68,stocktwits,6140513
15892$UNXL,"""@CH_Roark: $UNXL I like this Ascending Triangle on the 30-minute chart. Breakout coming Monday! http://stks.co/aT3G""Looks promising.",0.478,stocktwits,13391009
16131$UNXL,"""@jbraica: $UNXL another story stock with an unhappy ending.  Typical."" Yeah. Pretty much. We have seen so many of these.",-0.426,stocktwits,14080257
15304$UNG,Bot more $UNG puts,-0.731,stocktwits,8168244
16462$UNG,$ung down 5.43 % - megaphone on watch,-0.392,stocktwits,30013492
16461$UL,"new ""large player sells"" #stocks http://stks.co/qucG $CPWR $GA $UL",-0.498,stocktwits,19388705
16706$UGAZ,$UGAZ Will this cold put a dent in the massive horizontal rig production. Who knows  http://stks.co/p1V6P,-0.237,stocktwits,32704588
16818$UGAZ,$UGAZ $DGAZ gonna start shorting every 10%+ move on both of these,-0.465,stocktwits,31015066
17059$UGAZ,I sold half of my $UGAZ Long here at $2.75 from my $2.51 entry yesterday noted here: http://stks.co/q1S6v Moved stop to entry price.,0.124,stocktwits,32476166
16806$UDN,EUR/USD Finding Support Near 1.10 Level $ERO $UUP $UDN $FXE  http://stks.co/b29eU,0.259,stocktwits,36319076
16477$UBNT,$UBNT still having some trouble at the resistance line. Should resolve soon.@cheri1 @strattonite   http://stks.co/c0sU4,0.071,stocktwits,25591365
15880$UAL,congress probably long $DAL and $UAL because they f*cking can right?,0.29,stocktwits,13253323
16528$UA,$UA   Murray leaves competitor Adidas. $UA Diversifies. Adds International exposure. And tennis. Murray won 2012 U.S. Open & Olympic Gold.,0.219,stocktwits,30769878
14902$TZOO,$TZOO a close above 28.64 and we are ready to rock and roll,0.308,stocktwits,6132488
14893$TZA,"Sold out $TZA 45 $PUT (down $1), which were hedging my 45 $CALL. Letting the calls ride solo now.",0.385,stocktwits,5359914
14908$TZA,Buying $TZA calls / $TNA puts tomorrow,0.841,stocktwits,5350721
15075$TZA,still in $TZa,0.309,stocktwits,5285681
15220$TZA,"@Stevez1 more of a chartist myself (news & MM talk is orchestrated BS). Long tech for early Jan, after that it's straight to $TZA $FAZ calls",0.384,stocktwits,6203155
15227$TZA,$TZA is a rocket ship!!!,0.807,stocktwits,5554518
15715$TZA,$VXX $UVXY $TZA will be buying my last round of shorts next week bring the average down its all bought ladders and tripplying down,-0.183,stocktwits,9169048
15925$TZA,"$TNA, $TZA daily chart of $TNA with upcoming first support in a few days or weeks! http://stks.co/q3Kj",0.274,stocktwits,12196849
16168$TZA,$IWM Short week next week.  Charts targeting a high of $92.80.  $TNA $84.65  $TZA $9.97. Still holding 150 $TNA shares from 450. SL 79.11,-0.134,stocktwits,12105568
15778$TYC,"$TYC just about to break out to new highs, lots of technicals looking great right now.",0.602,stocktwits,12044101
16154$TXRH,"$TXRH reports Q1 EPS of $0.37 versus the estimated $0.35, beating by $0.02. EPS were Up 19% from the same quarter last year.",0.365,stocktwits,13286015
15018$TXN,"$TXN Q3 adj-EPS 60c, beats by 2c, sales $3.47B; sees Q4 EPS 28-36c, vs. cons. 54c, sales $3.26-$3.54B, vs. cons. $3.43B",0.22,stocktwits,5526093
15869$TWTR,$TWTR CHUNK OF DEC $35 PUTS BOUGHT AT .40Â¢ - OPENING,-0.601,stocktwits,17667026
16267$TWTR,$WB < Money-Losing$ OverValued China IPO Junk > BUY $TWTR instead,0.531,stocktwits,22146748
16344$TWTR,$BABA may take a few days wks months watch what happened to $FB $TWTR after they IPO. mrkt needs to washout. to hunt well need 2 wait stalk.,-0.055,stocktwits,27080546
16483$TWTR,$TWTR The best scenario going forward is this stock slowly falling everyday....Which is quite probable...,-0.264,stocktwits,18842089
16587$TWTR,"So as of today's close (8/15/14), I'm long $TSLA $AMTD $TWTR $FB $AAPL $CELG - all on a longer-term, technical swing long basis.",0.591,stocktwits,25816362
16970$TWTR,"$TWTR one good announcement, then shorts start quietly covering, people buy, and it's off to quick large gain. Don't listen to neg bs..",0.37,stocktwits,36245025
16973$TWTR,"only 3 ""likes"" when posted ystdy ""@sspencer_smb: i think $TWTR reports a solid quarter and guides higher. putting on options accordingly""",0.499,stocktwits,39047310
17097$TWTR,$TWTR sad the only thing to move this is a takeover rumor only to be sold off next day !,-0.278,stocktwits,39049453
15330$TTWO,$TTWO TTWO Long Idea.. TTWO has been strong in a weak tape. http://stks.co/cEUL,0.54,stocktwits,10606650
16920$TTT,End Of Day Scan: Bullish MA  Crossovers $BBVA $PDS $NTLS $NGL $SBRCY $FGL $MTNOY $TTT  www.dailystockplays.com,0.457,stocktwits,39047668
15053$TSPT,$TSPT  long 8.00,0.499,stocktwits,5959915
14938$TSLA,watch $TSLA > 34.5,0.339,stocktwits,5818088
15894$TSLA,"""@StockTwits: ""@Kbkiwi: $TSLA Tesla Model S sales exceed target, profitability guidance amended upward: http://stks.co/jQ0w""""",0.526,stocktwits,12803864
16040$TSLA,$TSLA I see more downside in next two weeks be careful -20 dollars drop potential vs +10 up moved,-0.477,stocktwits,17316092
16067$TSLA,$TSLA Not sure how this guy from Northland Capital on #CNBC recommends Tesla with a straight face & a $230 PT. #joke #bubble #buyerbeware,-0.506,stocktwits,17216281
16094$TSLA,$TSLA gyrating @ S1 above gap. keeping an eye on S2 http://stks.co/jQfB,0.346,stocktwits,12912068
16169$TSLA,$TSLA think of this leader as a frisky colt.  I just got thrown.  Do I get back on the horse?  I will if it's doesn't gap up on the open.,-0.119,stocktwits,15367342
16196$TSLA,$SCTY finally broke free from big brother's shadow? $TSLA,0.206,stocktwits,17782586
16290$TSLA,Tesla: A 600% Yearly Return Is Not An Ordinary Occurrence $TSLA http://stks.co/h0NA2,0.342,stocktwits,20795798
16336$TSLA,"$TSLA nice wedge, could go either way, maybe tomorrow we will know http://stks.co/qqFw",-0.003,stocktwits,18844732
16435$TSLA,"$TSLA looking good..i'd love to see a basing action here, letting the RSI take a breather. http://stks.co/g1T7c",0.362,stocktwits,30567887
16587$TSLA,"So as of today's close (8/15/14), I'm long $TSLA $AMTD $TWTR $FB $AAPL $CELG - all on a longer-term, technical swing long basis.",0.591,stocktwits,25816362
16637$TSLA,$TSLA You have to love these types of articles. SS interest rose on 12/15 on day before we hit our lows. http://stks.co/c1QKr,-0.405,stocktwits,30683869
16725$TSLA,"$TSLA  over #215. forget about the chart. invest in elon. if he has a fund to acjieve his misson faster, i would contribute without a doubr!",0.327,stocktwits,32940708
16802$TSLA,"Elon Musk’s Comparision Of $TSLA With $AAPL Doesn’t Go Well
http://stks.co/c1gze",-0.277,stocktwits,32648097
16404$TSLA,stopped out $TSLA 231.53 (3.86 loss),-0.173,stocktwits,21024991
14864$TRX,$TRX http://stks.co/1KkK Long setup. MACD cross.,0.438,stocktwits,5955346
16450$TROW,$TROW Ascending triangle gives a bullish bias to this chart. Breakout above 84 will be positive http://stks.co/g0ls5,0.544,stocktwits,24228488
16897$TNH,"While we think $TNH is a winner, we are ringing the register.  We entered at 92 dollars and 147 is a hell of a win! ""Tony strikes again!""",0.415,stocktwits,33542411
16966$TNH,$TNH Looks like an explosive setup if it can break the 20EMA and 105 level http://stks.co/b1SVH,0.348,stocktwits,30972316
14908$TNA,Buying $TZA calls / $TNA puts tomorrow,-0.771,stocktwits,5350721
15925$TNA,"$TNA, $TZA daily chart of $TNA with upcoming first support in a few days or weeks! http://stks.co/q3Kj",0.274,stocktwits,12196849
16168$TNA,$IWM Short week next week.  Charts targeting a high of $92.80.  $TNA $84.65  $TZA $9.97. Still holding 150 $TNA shares from 450. SL 79.11,-0.126,stocktwits,12105568
16410$TNA,$TNA In 73.24,0.322,stocktwits,23774048
14940$TLT,$TLT http://stks.co/RbS Still the top dog in Intermarket RS,0.473,stocktwits,5277169
16332$TLT,$TLT recent dips created buying opportunities. Using MA Triangular 34 as reference. Latest BUY = Fri http://stks.co/e16pQ,0.378,stocktwits,27855474
16419$TLT,"Ten year yield, weekly http://stks.co/r0Iw2 10 year yield still very bearish, hence 7-10 year T bond fund $IEF bullish. $TLT too.",0.417,stocktwits,22780978
17068$TLT,$TLT Oh man... my hospital reits are slaughtered. Even when they have plus 6% div yield.,-0.258,stocktwits,36370880
15570$TLM,$TLM $SU both reporting today $TLM should reward better on good earnings as it sold of .50 in last two days yet $SU rallied,0.326,stocktwits,7800016
15426$TLB,$TLB anyone long before the flush please accept my condolences.  Congrats. to all that were short.  I wasn't in either way.,-0.606,stocktwits,8140414
15393$TJX,$TJX have a you a minor double top at $46.50 & now below the 50ma. I would watch to see if it can quickly reclaim the ma's or not. $$,0.056,stocktwits,9644270
16444$TJX,Found some good bull setups this week: $REGN $XRS $SNCR $TJX $NTES $ABC $ECHO $AMAG $HAWK $PANW $TAM $AGN --> Let's see if mkt helps out,0.448,stocktwits,28165236
15110$TIF,$TIF - Is Tiffany's overvalued?  See F.A.S.T. Graphs:  http://stks.co/1F2u,-0.25,stocktwits,5884846
16584$THRM,Three of my hot stocks today $SFUN $GMED $THRM...  Thanks @StkCon,0.461,stocktwits,20655340
16225$TGA,"Never told this before, but the situation is ""Buy the dip"": $KNDI, $OPTT, $OMER, $DNDN, $MBLX, $MSTX, $IFON, $IMUC, $LF, $TGA",0.38,stocktwits,22409313
16416$TFM,that last article was from June 2012.... now buying back a chunk at these prices.  Nicely done! $TFM,0.416,stocktwits,23445990
15635$TEA,"While fear is mechanically driving public markets LOWER, record corp. cash & cheap financing is fueling a wave of acquisitions $KYAK $TEA",0.208,stocktwits,10573348
14960$TBT,@sssc Still holding my $TBT for next year.,0.581,stocktwits,5707322
15322$TBT,RT @toddstrade bailed on $TBT not looking as good as i thought // looks boring - too much overthink $$,-0.458,stocktwits,6374122
15063$TAP,"Sounds to me like the cost cutting at $TAP has just about run its course, Tom Long needs to find a way to turn around Miller Lite quickly.",-0.253,stocktwits,6183420
16444$TAM,Found some good bull setups this week: $REGN $XRS $SNCR $TJX $NTES $ABC $ECHO $AMAG $HAWK $PANW $TAM $AGN --> Let's see if mkt helps out,0.448,stocktwits,28165236
15119$T,like $T for a breakout long as well. getting through the 100 and 200 MA could see it run.,0.655,stocktwits,5509901
15992$T,"$T AT&T Issues Statement On Debt Ceiling, Potential U.S. Government Default",-0.341,stocktwits,16273216
14906$SZYM,$$ on board $SZYM,0.335,stocktwits,5979103
15280$SWY,"@SOULLOR the regular scrappy Q $SWY usually presents. Sales weak, margins down, debt still way up.",-0.515,stocktwits,9942259
14905$SWKS,"I'm liking the price action in $SWKS, currently @21.80 ; my target: 24.00+ before year end.",0.603,stocktwits,5697866
14973$SWI,"RT @StockTwits50 In a mostly red tape this morning, biggest St50 gainers are $MELI $PKT $SWI",0.452,stocktwits,6006891
15570$SU,$TLM $SU both reporting today $TLM should reward better on good earnings as it sold of .50 in last two days yet $SU rallied,0.285,stocktwits,7800016
17048$SU,5 Toxic Stocks Raising Red Flags to Sell This Week $SU http://stks.co/d1xaD,-0.826,stocktwits,34637295
16027$STX,Chanos: If i had to pick one it would be $STX,0.489,stocktwits,13461331
16774$STX,"Quality Stocks With High Cash Returns: http://stks.co/b1eOk $DTV
$STX $SFUN $PPC $ELN",0.414,stocktwits,32427089
15101$STX,$stx--wow exited my calls way--way too early,0.362,stocktwits,5505675
17056$STLD,"$AKS Well here you go..at least you know what sector will be white hot next week..huge buy in all these names..$AKS,$NUE,$STLD,$X..nice work",0.608,stocktwits,37312789
16143$STI,"""@TraderFoxxx: $STI - Long @ 27.50 w/Trailing Stop @ 27.77 from 4 prior Stops on Weekly Chart - http://stks.co/eb5q""",0.487,stocktwits,14576954
15434$SSYS,"I didn't trade it last week, but a big red candle on Friday in $SSYS as it failed again at $69. Could see some support around this $58ish.",-0.273,stocktwits,10347320
16927$SSYS,"$SSYS just re-tested lows . Should rise steadily from here. It hit $81 just 21 trading days ago, and $130.86 on Sept 18. It'll do it again.",0.395,stocktwits,33504394
17042$SSYS,$SSYS splat! poor Q1 orders?,-0.453,stocktwits,35847223
15238$SSRI,"Lots of metal stocks look like a 5-10% run awaits. Long $SSRI,$PAAS and $NEM but most high quality names should go if metal prices cooperate",0.394,stocktwits,5704829
17076$SSO,added $SSO 64.33 (64.13 low),0.626,stocktwits,39024678
16504$SREV,$SREV Another to keep an eye on here.. #Wiseguys inhaled Apr $10 calls on Friday payin 25-30¢ .. 68x usual VOL  http://stks.co/q01JF,0.182,stocktwits,20288638
