id,Company Name (Original),Company Name (Fixed),Text,sentiment score,# Scores
1049_M&G Investments,M&G Investments,M&G Investments,Prudential hit by withdrawals from M&G investment arm,-0.704,3
105_Bunzl,Bunzl,Bunzl,Bunzl Lifts Dividend Again As Acquisitions Continue To Boost Profits,0.401,2
1050_BAE Systems,BAE Systems,BAE Systems,BAE Systems cuts earnings target for 2015 and 370 jobs,-0.631,3
1052_SABMiller,SABMiller,SABMiller,US dollar wipes out sales gains for SABMiller,-0.582,3
1053_SABMiller,SABMiller,SABMiller,"UPDATE 1-SABMiller 2nd-quarter underlying sales rise, forex impacts margins",0.043,3
1054_MillerCoors,MillerCoors,MillerCoors,"AB InBev launches SAB bid, to sell MillerCoors stake",0.053,3
1055_Barclays,Barclays,Barclays,Barclays settles with US investors over Libor manipulation,0.285,2
1057_SABMiller,SABMiller,SABMiller,UPDATE 2-Pricey beers lift SABMiller's quarterly underlying sales,0.429,3
1061_Valeant,Valeant,Valeant Pharmaceuticals International,Valeant CEO Pledges to Heed Critics After `Painful' Experience,-0.381,3
1063_Admiral Group plc,Admiral Group plc,Admiral Group plc,"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?",0.319,2
1063_Aviva,Aviva,Aviva plc,"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?",0.324,2
1063_Direct Line Insurance Group PLC,Direct Line Insurance Group PLC,Direct Line Insurance Group PLC,"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?",0.345,2
1065_RBS,RBS,Royal Bank of Scotland Group plc,StanChart and RBS struggle in Bank of England stress tests,-0.738,3
1065_Standard Chartered,Standard Chartered,Standard Chartered PLC,StanChart and RBS struggle in Bank of England stress tests,-0.39,2
1068_Bunzl,Bunzl,Bunzl,"Bunzl backs 2015 view, buys more businesses",0.487,3
107_Lloyds,Lloyds,Lloyds Banking Group PLC,REFILE-UPDATE 4-Britain's Lloyds to pay first dividend since rescue,0.522,3
1072_Standard Chartered,Standard Chartered,Standard Chartered PLC,Standard Chartered may see white knight takeover on painful recovery: CLSA,-0.156,3
1073_Barclays,Barclays,Barclays,Barclays sells benchmark indices unit to Bloomberg,0.141,2
1073_Bloomberg,Bloomberg,Bloomberg,Barclays sells benchmark indices unit to Bloomberg,0.281,3
1075_L&G,L&G,L&G,L&G strikes Â£230m bulk annuity deal,0.54,3
1077_Asda,Asda,Asda,"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",-0.226,3
1077_Morrisons,Morrisons,Morrisons,"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",-0.251,3
1077_Sainsbury,Sainsbury,Sainsbury's,"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",-0.259,3
1077_Tesco,Tesco,Tesco PLC,"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",-0.222,3
1078_StanChart,StanChart,Standard Chartered PLC,StanChart may see white knight takeover on painful recovery - CLSA,-0.155,3
1079_BP,BP,BP,"EU drops Shell, BP, Statoil from ethanol benchmark investigation",0.262,3
1079_Shell,Shell,Shell,"EU drops Shell, BP, Statoil from ethanol benchmark investigation",0.276,3
1079_Statoil,Statoil,Statoil,"EU drops Shell, BP, Statoil from ethanol benchmark investigation",0.294,3
1080_Morrisons,Morrisons,Morrisons,CompaniesMorrison evicted from FTSE 100 as Worldpay joins,-0.852,3
1082_Bloomberg,Bloomberg,Bloomberg,Bloomberg buys Barclays' benchmarking business,0.275,3
1083_Barclays,Barclays,Barclays,Barclays in $13.75 million US settlement over mutual funds,-0.574,3
1085_Dixons Carphone,Dixons Carphone,Dixons Carphone,CompaniesLord Livingston joins Dixons Carphone,0.364,2
1088_Tesco,Tesco,Tesco PLC,Tesco UK personnel director quits supermarket,-0.223,3
1089_Acerta,Acerta,Acerta,AstraZeneca Explores Potential Deal With Acerta for Cancer Drug,0.369,3
1089_AstraZeneca,AstraZeneca,AstraZeneca,AstraZeneca Explores Potential Deal With Acerta for Cancer Drug,0.372,3
109_Severn Trent,Severn Trent,Severn Trent,Companies Severn Trent expects costs hit from inflation,-0.353,2
1090_Ab InBev,Ab InBev,AB InBev,Lawmakers worry AB InBev beer deal will hurt craft brewers,-0.033,3
1092_London Stock Exchange,London Stock Exchange,London Stock Exchange Group,Companies raise less money on London Stock Exchange in 2015,-0.199,3
1096_Clydesdale,Clydesdale,Clydesdale Bank,Clydesdale and Yorkshire moves closer to independence,0.299,3
1096_Yorkshire,Yorkshire,Yorkshire,Clydesdale and Yorkshire moves closer to independence,0.279,3
1098_Vale,Vale,Vale,Brazil Vale says will appeal ruling to block assets for dam burst,-0.131,3
11_BP,BP,BP,BP set to cut hundreds of jobs at North Sea operations,-0.667,3
110_Tesco,Tesco,Tesco PLC,Buffett Embarrassed by 'Thumb-Sucking' on Exit of Tesco Stake,-0.418,2
1102_Shell,Shell,Shell,Shell Opens Natural Gas Wells Off Irish Coast,0.461,3
1103_GlaxoSmithKline,GlaxoSmithKline,GlaxoSmithKline,GlaxoSmithKline acquires HIV assets,0.39,3
1104_BHP Billiton,BHP Billiton,BHP Billiton,BHP Billiton to lower copper production costs,0.31,3
1105_Mylan,Mylan,Mylan,US DOJ antitrust unit subpoenas Mylan over pricing of doxycycline,-0.86,2
1109_Acerta,Acerta,Acerta,AstraZeneca chases Acerta to secure next cancer drug winner,0.776,2
1109_AstraZeneca,AstraZeneca,AstraZeneca,AstraZeneca chases Acerta to secure next cancer drug winner,0.519,3
111_Tesco,Tesco,Tesco PLC,Tesco investors non-plussed by John Allan as chairman - he's no Archie Norman ...,-0.431,3
1112_Tesco,Tesco,Tesco PLC,CompaniesTesco off to a bad start over Xmas â€“ Kantar,-0.604,3
1115_AstraZeneca,AstraZeneca,AstraZeneca,AstraZeneca in Talks to Buy Cancer Drug Developer Acerta Pharma,0.21,2
1116_Acerta,Acerta,Acerta,Royal Mail Fined Â£40m After French Probe,-0.671,3
1117_DBS,DBS,DBS,"DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ...",0.307,3
1117_Julius Baer,Julius Baer,Julius Baer,"DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ...",0.31,3
1118_AstraZeneca,AstraZeneca,AstraZeneca,Why AstraZeneca plc & Dixons Carphone PLC Are Red-Hot Growth Stars!,0.934,2
1118_Dixons Carphone,Dixons Carphone,Dixons Carphone,Why AstraZeneca plc & Dixons Carphone PLC Are Red-Hot Growth Stars!,0.766,3
1120_BBCN Bancorp,BBCN Bancorp,BBCN Bancorp,BBCN Bancorp to buy Wilshire Bancorp in $1 bln deal,0.493,3
1120_Wilshire Bancorp,Wilshire Bancorp,Wilshire Bancorp,BBCN Bancorp to buy Wilshire Bancorp in $1 bln deal,0.818,2
1122_Comcast,Comcast,Comcast,ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...,0.623,2
1122_ITV,ITV,ITV,ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...,0.611,3
1123_Lloyds,Lloyds,Lloyds Banking Group PLC,Osborne extends Lloyds sell-off plan,-0.311,2
1124_Dixons Carphone,Dixons Carphone,Dixons Carphone,FTSE boosted by Dixons Carphone with Fed in focus,0.522,3
1126_Barclays,Barclays,Barclays,Industry NewsBarclays to 'cut investment bank staff by another 20%',-0.667,3
1127_RBS,RBS,Royal Bank of Scotland Group plc,"RBS Investment Bank to Return to Profit After Overhaul, CEO Says",0.338,2
113_BHP,BHP,BHP Billiton,BHP's iron ore outlook holds little cheer for small miners,-0.43,3
1130_StanChart,StanChart,Standard Chartered PLC,Exclusive - StanChart axes senior bankers in energy M&A team: sources,-0.105,3
1131_Glencore,Glencore,Glencore,Glencore Studies Possible IPO for Agricultural Trading Business,0.408,2
1132_Sainsbury,Sainsbury,Sainsbury's,Can Christmas Save Sainsbury's plc And Tesco plc?,-0.158,3
1132_Tesco,Tesco,Tesco PLC,Can Christmas Save Sainsbury's plc And Tesco plc?,-0.175,3
1133_AstraZeneca,AstraZeneca,AstraZeneca,UPDATE 1-AstraZeneca boosts respiratory unit with $575 mln Takeda deal,0.37,3
1133_Takeda,Takeda,Takeda,UPDATE 1-AstraZeneca boosts respiratory unit with $575 mln Takeda deal,0.47,3
1135_Lloyds Banking Group,Lloyds Banking Group,Lloyds Banking Group PLC,How Lloyds Banking Group PLC Could Double Your Money By 2018,0.313,2
1137_ITV,ITV,ITV,ITV merger reports boost Footsie stocks,0.42,3
1138_Barclays,Barclays,Barclays,Che Banca! CEO says Barclays buy to lift profit from 2016-17,0.402,3
1141_National Grid,National Grid,National Grid,UK Christmas power demand to be lowest in 16 years â€“ National Grid,-0.334,3
1142_Bilfinger Industrial Services,Bilfinger Industrial Services,Bilfinger Industrial Services,Bilfinger Industrial Services win Â£100m BP contract extension,0.424,2
1142_BP,BP,BP,Bilfinger Industrial Services win Â£100m BP contract extension,0.113,2
1143_RBS,RBS,Royal Bank of Scotland Group plc,"Standard Chartered, RBS Escape Capital Raising in Stress Test",0.335,3
1143_Standard Chartered,Standard Chartered,Standard Chartered PLC,"Standard Chartered, RBS Escape Capital Raising in Stress Test",0.321,3
1144_Pfizer,Pfizer,Pfizer,Pfizer to cut 120 jobs with closure of Cambridge R&D centre,-0.456,3
1145_Lloyds,Lloyds,Lloyds Banking Group PLC,Lloyds wins right to buy bonds back early to save 1 billion pounds,0.369,3
1146_Barclays,Barclays,Barclays,UPDATE 3-Barclays sells Italian branches to Mediobanca at a loss,-0.637,3
1147_Acerta,Acerta,Acerta,AstraZeneca weighing up Acerta bid to secure blood cancer drug,0.413,3
1147_AstraZeneca,AstraZeneca,AstraZeneca,AstraZeneca weighing up Acerta bid to secure blood cancer drug,0.284,3
115_GlaxoSmithKline,GlaxoSmithKline,GlaxoSmithKline,GlaxoSmithKline set to complete $20 billion Novartis asset swap next week,0.292,3
115_Novartis,Novartis,Novartis,GlaxoSmithKline set to complete $20 billion Novartis asset swap next week,0.189,3
1151_Sainsbury,Sainsbury,Sainsbury's,Sir Ken Morrison has taken a Â£6m stake in rival Sainsbury's,0.357,3
1154_BHP Billiton,BHP Billiton,BHP Billiton,2 Turnaround Buys For 2016? BHP Billiton plc And Home Retail Group Plc,0.462,2
1154_Home Retail Group,Home Retail Group,Home Retail Group,2 Turnaround Buys For 2016? BHP Billiton plc And Home Retail Group Plc,0.492,2
1155_L&G,L&G,L&G,L&G completes UK's largest medically underwritten bulk pension risk deal,0.25,3
1156_Glencore,Glencore,Glencore,Glencore increases debt reduction and cuts spending,0.304,3
116_Meggitt,Meggitt,Meggitt,Meggitt share price tumbles as profit falls in 'challenging year',-0.854,3
1160_Baxalta,Baxalta,Baxalta,Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit,0.75,2
1160_Shire,Shire,Shire,Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit,0.437,3
1163_Morrisons,Morrisons,Morrisons,Early victory for new CEO as Morrisons beats forecasts,0.753,3
1165_Kingfisher,Kingfisher,Kingfisher,Kingfisher share price slides on cost to implement new strategy,-0.786,2
1167_Kingfisher,Kingfisher,Kingfisher,CompaniesKingfisher sliding despite promise of Â£600m capital return,-0.465,3
1168_Baxalta,Baxalta,Baxalta,Shire says internal synergy goals from Baxalta deal higher,0.23,3
1168_Shire,Shire,Shire,Shire says internal synergy goals from Baxalta deal higher,0.287,3
1169_Shell,Shell,Shell,Shell's profits hit by further slide in oil prices,-0.75,3
117_AO World,AO World,AO World,AO World shares tumble on profit warning,-0.815,3
1172_BHP,BHP,BHP Billiton,"European shares plunge, roiled by BHP and oil; hopes turn to ECB",-0.736,2
1173_BP,BP,BP,BP to slash 4000 jobs globally as oil prices drop,-0.736,3
1175_Morrisons,Morrisons,Morrisons,UK supermarket group Morrisons cuts fresh food prices,0.364,2
1181_Arriva,Arriva,Arriva,Shropshire and Mid Wales trains to be hit again in new strike by Arriva drivers,-0.553,2
1181_Mid Wales,Mid Wales,Mid Wales,Shropshire and Mid Wales trains to be hit again in new strike by Arriva drivers,-0.509,2
1183_Debenhams,Debenhams,Debenhams,Morrisons and Debenhams surprise City with Christmas bounce back,0.573,3
1183_Morrisons,Morrisons,Morrisons,Morrisons and Debenhams surprise City with Christmas bounce back,0.619,3
1187_Direct Line,Direct Line,Direct Line Insurance Group PLC,Direct Line expects claims of Â£110-140 million from three storms,-0.367,3
1188_RBS,RBS,Royal Bank of Scotland Group plc,RBS Shares Drop After Surprise Pension Charge Cuts Capital,-0.651,3
1189_Aberdeen,Aberdeen,Aberdeen Asset Management,Aberdeen sees more investors pull cash in the December quarter,-0.526,3
119_StanLife,StanLife,Standard Life,StanLife leads FTSE after strong earnings,0.815,3
1190_Ashtead,Ashtead,Ashtead,"Britain's FTSE falls back with Ashtead, commodities under pressure",-0.59,3
1192_Tesco,Tesco,Tesco PLC,Tesco shares jump 6% after Christmas sales beat expectations,0.814,3
120_BHP Billiton,BHP Billiton,BHP Billiton,"BHP Billiton half-year profit falls, beats forecasts",0.082,3
1200_Home Retail,Home Retail,Home Retail Group,CompaniesHome Retail trims gains but is considered 'in play',0.135,2
1201_Home Retail Group,Home Retail Group,Home Retail Group,Sainsbury's pressed to raise bid for Home Retail Group,0.385,3
1202_Kirin,Kirin,Kirin,Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,0.24,3
1202_SABMiller,SABMiller,SABMiller,Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,0.577,2
1202_San Miguel,San Miguel,San Miguel,Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,0.19,3
1203_BG,BG,BG Group,Investors Remain Skeptical About Shell-BG Deal,-0.421,3
1203_Shell,Shell,Shell,Investors Remain Skeptical About Shell-BG Deal,-0.266,2
1206_Tesco,Tesco,Tesco PLC,Tesco is torn apart as watchdog finds supermarket repeatedly withheld payments from suppliers,-0.775,3
1207_BAT,BAT,BAT,UK regulators license BAT e-cigarette as quit-smoking medicine,0.461,3
1210_Baxalta,Baxalta,Baxalta,MarketsShire up 2.5% and Baxalta up 6% on $32bn deal,0.663,3
1210_Shire,Shire,Shire,MarketsShire up 2.5% and Baxalta up 6% on $32bn deal,0.487,3
1211_SunRay,SunRay,SunRay,SunRay Cuts Jobs as New Hampshire Reaches Cap on Solar Incentive,-0.67,3
1212_Rio Tinto,Rio Tinto,Rio Tinto,No pay hikes this year at Rio Tinto as mining slump bites,-0.387,3
1214_Diageo,Diageo,Diageo,Diageo offloads major wine interests,-0.384,2
1217_Baxalta,Baxalta,Baxalta,Shire share price under pressure after $32bn Baxalta deal,-0.198,3
1217_Shire,Shire,Shire,Shire share price under pressure after $32bn Baxalta deal,-0.186,2
1219_Prudential,Prudential,Prudential,"Prudential capital ratio beats forecasts, confirms UK head",0.337,3
122_BP,BP,BP,U.S. Oil-Worker Strike Reaches BP Plants With Talks on Hold,-0.274,3
1220_SSE,SSE,SSE,SSE faces profiteering accusations despite 5.3% cut in gas charges,-0.31,3
1221_RBS,RBS,Royal Bank of Scotland Group plc,Trading ExpertBROKER RECOMMENDATIONSUBS ups RBS to 'buy' as it re-initiates coverage on UK banks,0.833,2
1223_BAE,BAE,BAE Systems,Shares in BAE Systems hit 10-month high on rating upgrade,0.905,2
1224_Asahi,Asahi,Asahi,Japan's Asahi to submit bid next week for SABMiller's Grolsch and Peroni - Yomiuri,0.206,3
1224_SABMiller,SABMiller,SABMiller,Japan's Asahi to submit bid next week for SABMiller's Grolsch and Peroni - Yomiuri,0.236,2
1227_J Sainsbury plc,J Sainsbury plc,J Sainsbury plc,Why I Would Put J Sainsbury plc In My Trolley Before Wm Morrison Supermarkets ...,0.764,2
1228_Aberdeen,Aberdeen,Aberdeen Asset Management,Trading ExpertBROKER RECOMMENDATIONSAnalysts mostly negative on Aberdeen but some see value,-0.345,2
1230_Dixons Carphone,Dixons Carphone,Dixons Carphone,CompaniesDixons Carphone to close 134 UK stores as sales jump,0.144,2
1232_Royal Dutch,Royal Dutch,Royal Dutch Shell,Should You Buy Royal Dutch Shell Plc After Its Q4 'Update'?,0.083,3
1233_Glencore,Glencore,Glencore,LPC-Glencore launches refinancing of US$8.45bn loan,0.173,3
1234_Glencore,Glencore,Glencore,Glencore launches refinancing of credit line,0.199,3
1235_Glencore,Glencore,Glencore,UPDATE 1-LPC-Glencore launches refinancing of US$8.45bn loan,0.182,3
1238_Glencore,Glencore,Glencore,LPC-Glencore launches refinancing of $8.45billion loan,0.193,3
124_RBS,RBS,Royal Bank of Scotland Group plc,RBS breaks with past by tearing investment bank apart,-0.05,3
1241_BG,BG,BG Group,Shell share price: Standard Life announce position against BG acquisition,-0.194,3
1241_Shell,Shell,Shell,Shell share price: Standard Life announce position against BG acquisition,-0.134,3
1241_Standard Life,Standard Life,Standard Life,Shell share price: Standard Life announce position against BG acquisition,-0.099,3
1242_Tesco,Tesco,Tesco PLC,Tesco share price down as grocer faces SFO investigation outcome,-0.542,3
1243_Royal Mail,Royal Mail,Royal Mail,"Britain's FTSE outperforms Europe, Royal Mail and Tesco rise",0.439,3
1243_Tesco,Tesco,Tesco PLC,"Britain's FTSE outperforms Europe, Royal Mail and Tesco rise",0.439,3
1246_Barclays,Barclays,Barclays,"Barclays, Deutsche Bank Fight to Lift Profit Just Got Harder",-0.221,3
1246_Deutsche Bank,Deutsche Bank,Deutsche Bank,"Barclays, Deutsche Bank Fight to Lift Profit Just Got Harder",-0.232,3
1247_Unilever,Unilever,Unilever,Unilever returns to Cuba in joint venture with state,0.287,3
1248_Unilever,Unilever,Unilever,Unilever head's resignation sparks spinoff talk,0.073,3
125_Standard Chartered,Standard Chartered,Standard Chartered PLC,Standard Chartered CEO Peter Sands to Resign After Unrest at Bank,-0.301,3
1254_Smith & Nephew,Smith & Nephew,Smith & Nephew,Smith & Nephew 2015 trading profit beats expectations,0.565,3
1256_Greene King,Greene King,Greene King,Greene King's third quarter sales boosted by festive season,0.363,3
126_Randgold Resources,Randgold Resources,Randgold Resources,Randgold Resources Q4 Profit Decreases - Quick Facts,-0.282,3
1262_Petrofac,Petrofac,Petrofac,CompaniesPetrofac earnings battered by North Sea project losses,-0.429,3
1263_BT Group,BT Group,BT Group,BT Group's third quarter revenues rise as restructure unveiled,0.564,3
1266_Johnston Press,Johnston Press,Johnston Press,Indy future in doubt as Johnston Press lines up deal for 'i',0.155,3
1269_BP,BP,BP,BP shares tumble after $2.2bn fourth-quarter loss,-0.927,3
127_ARM,ARM,ARM Holdings plc,ARM Royalties Accelerate as Smartphone Market Regains Strength,0.571,3
1271_BHP Billiton,BHP Billiton,BHP Billiton,BHP Billiton says no settlement yet on Brazil dam disaster,-0.2,3
1273_Hargreaves Landown,Hargreaves Landown,Hargreaves Lansdown,Hargreaves Landown slides on trading update,-0.464,3
1275_Glencore,Glencore,Glencore,Glencore shares hit 3-month high after refinancing key credit line,0.363,2
1279_BP,BP,BP,BP reports biggest ever annual loss,-0.99,3
1280_AstraZeneca,AstraZeneca,AstraZeneca,AstraZeneca says new lung cancer pill Tagrisso approved by EU,0.481,3
1283_InterContinental Hotels Group,InterContinental Hotels Group,InterContinental Hotels Group,InterContinental Hotels Group share price climbs on $1.5bn special dividend,0.631,3
1284_Amazon,Amazon,Amazon,Amazon to attack UK grocery market with Morrisons deal,0.349,3
1284_Morrisons,Morrisons,Morrisons,Amazon to attack UK grocery market with Morrisons deal,0.333,3
1285_Berkshire Hathaway,Berkshire Hathaway,Berkshire Hathaway Inc.,Warren Buffett's Berkshire Hathaway quarterly profit jumps almost one third,0.667,3
1286_Genel,Genel,Genel,Genel Shares Plunge After Tony Hayward's Oil Explorer Cuts Crude Reserves at Core Field,-0.734,3
1287_Acerta,Acerta,Acerta,AstraZeneca share price: Acerta deal pays off with orphan drug status,0.317,3
1287_AstraZeneca,AstraZeneca,AstraZeneca,AstraZeneca share price: Acerta deal pays off with orphan drug status,0.495,3
1288_BHP Billiton,BHP Billiton,BHP Billiton,"BHP Billiton posts big loss, slashes dividend",-0.938,3
1297_British American Tobacco plc,British American Tobacco plc,British American Tobacco plc,"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?",0.099,3
1297_Centrica PLC,Centrica PLC,Centrica PLC,"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?",0.1,3
1297_John Wood Group PLC,John Wood Group PLC,John Wood Group PLC,"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?",0.103,3
1300_AstraZeneca,AstraZeneca,AstraZeneca,AstraZeneca agrees licensing deal for Plendil in China,0.383,3
1301_Glencore,Glencore,Glencore,Glencore posts 5.7 pct fall in Q4 copper output,-0.522,3
1307_ARM,ARM,ARM Holdings plc,ARM shrugs off smartphone slowdown as newer designs win share,0.178,3
1309_BP,BP,BP,"UPDATE 1-BP reports worst annual loss in at least 20 years, cuts more jobs",-0.989,3
131_Glaxo,Glaxo,Glaxo,Glaxo Sees Hope for Respiratory Drugs as Earnings Beat Estimates,0.534,3
1310_Glencore,Glencore,Glencore,"Glencore to refinance its short-term debt early, shares rise",0.34,3
1311_Aviva plc,Aviva plc,Aviva plc,Is Trouble Brewing At Legal & General Group Plc And Aviva plc?,-0.268,3
1311_Legal & General Group Plc,Legal & General Group Plc,Legal & General Group Plc,Is Trouble Brewing At Legal & General Group Plc And Aviva plc?,-0.271,3
1313_BHP Billiton,BHP Billiton,BHP Billiton,BHP Billiton drags FTSE lower after slashing dividend,-0.604,3
1314_BHP Billiton,BHP Billiton,BHP Billiton,"BHP Billiton slashes dividend, posts $5.67 billion net loss",-0.341,2
1315_Meggitt,Meggitt,Meggitt,CompaniesMeggitt profits hit by weak energy and military markets,-0.302,3
1316_Royal Mail,Royal Mail,Royal Mail,Royal Mail share price edges lower as group raises stamp price,-0.269,3
132_Glencore,Glencore,Glencore,"Glencore Cuts 2015 Budget, Plans To Divest From Lonmin",-0.26,3
132_Lonmin,Lonmin,Lonmin,"Glencore Cuts 2015 Budget, Plans To Divest From Lonmin",-0.314,3
1321_Weir Group,Weir Group,Weir Group,"Industry NewsRevenue, earnings take a tumble at Weir Group",-0.627,3
1324_Rio Tinto,Rio Tinto,Rio Tinto,"Rio Tinto swings to loss, drops dividend policy",-0.511,3
1327_Deutsche Boerse,Deutsche Boerse,Deutsche Boerse,France raises concerns over proposed LSE-Deutsche Boerse deal,-0.271,3
1327_LSE,LSE,London Stock Exchange Group,France raises concerns over proposed LSE-Deutsche Boerse deal,-0.347,3
133_BAE Systems,BAE Systems,BAE Systems,BAE Systems banks on US defence spending to fix sales slide,-0.069,3
1332_HSBC,HSBC,HSBC,HSBC Posts Surprise Fourth-Quarter Pretax Loss of $858 Million,-0.756,3
1334_BP,BP,BP,MarketsBP promotes upstream boss to deputy CEO,0.066,3
